Store Name,Primary Category Name,Secondary Category Name,Leaf Category Name,Product ID,Creation Date,Product Name,Product URL,SKU,Attribute Set,Visibility,Status(enable/disable)
bannerbuzz.com.au,Banners,Vinyl Banners,Business Banners,"4,65,406",17-02-2019 08:31,Retail Banners,https://www.bannerbuzz.com.au/retail-banners/p,BBVBBB04,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Business Banners,"4,65,406",17-02-2019 08:31,Retail Banners,https://www.bannerbuzz.co.uk/retail-banners/p,BBVBBB04,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Business Banners,"4,65,406",17-02-2019 08:31,Retail Banners,https://www.bannerbuzz.ca/retail-banners/p,BBVBBB04,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Business Banners,"4,65,406",17-02-2019 08:31,Retail Banners,https://www.bannerbuzz.co.nz/retail-banners/p,BBVBBB04,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Business Banners,"4,65,406",17-02-2019 08:31,Retail Banners,https://www.bestofsigns.com/retail-banners.html,BBVBBB04,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Business Banners,"4,65,407",17-02-2019 08:31,Sales Banners,https://www.bannerbuzz.com/sales-banners/p,BBVBBB03,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Business Banners,"4,65,407",17-02-2019 08:31,Sales Banners,https://www.bannerbuzz.com.au/sales-banners/p,BBVBBB03,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Business Banners,"4,65,407",17-02-2019 08:31,Sales Banners,https://www.bannerbuzz.co.uk/sales-banners/p,BBVBBB03,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Business Banners,"4,65,407",17-02-2019 08:31,Sales Banners,https://www.bannerbuzz.ca/sales-banners/p,BBVBBB03,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Business Banners,"4,65,407",17-02-2019 08:31,Sales Banners,https://www.bannerbuzz.co.nz/sales-banners/p,BBVBBB03,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Business Banners,"4,65,407",17-02-2019 08:31,For Sale Banners,https://www.bestofsigns.com/for-sale-banners.html,BBVBBB03,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Business Banners,"4,65,408",17-02-2019 08:31,Advertising Banners,https://www.bannerbuzz.com/advertising-banners/p,BBVBBB05,Default,"Catalog, Search",Enable
bannerbuzz.com.au,Banners,Vinyl Banners,Business Banners,"4,65,408",17-02-2019 08:31,Advertising Banners,https://www.bannerbuzz.com.au/advertising-banners/p,BBVBBB05,Default,"Catalog, Search",Enable
bannerbuzz.co.uk,Banners,Vinyl Banners,Business Banners,"4,65,408",17-02-2019 08:31,Advertising Banners,https://www.bannerbuzz.co.uk/advertising-banners/p,BBVBBB05,Default,"Catalog, Search",Enable
bannerbuzz.ca,Banners,Vinyl Banners,Business Banners,"4,65,408",17-02-2019 08:31,Advertising Banners,https://www.bannerbuzz.ca/advertising-banners/p,BBVBBB05,Default,"Catalog, Search",Enable
bannerbuzz.nz,Banners,Vinyl Banners,Business Banners,"4,65,408",17-02-2019 08:31,Advertising Banners,https://www.bannerbuzz.co.nz/advertising-banners/p,BBVBBB05,Default,"Catalog, Search",Enable
bestofsigns.com,Banners,Custom Vinyl Banners,Business Banners,"4,65,408",17-02-2019 08:31,Advertising Banners,https://www.bestofsigns.com/advertising-banners.html,BBVBBB05,Default,"Catalog, Search",Enable
bannerbuzz.com,Banners,Vinyl Banners,Business Banners,"4,65,409",17-02-2019 08:31,Company Banners,https://www.bannerbuzz.com/company-banners/p,BBVBBB06,Default,"Catalog, Search",Enable
